MESSAGE_ID,WAKTU_WIB,TIPE,EMITEN,HARGA_ENTRY,TP_RANGE,SL_PRICE,PROFIT_PCT,STATUS,IS_DUP
510484,2026-08-03 05:06:07,BUY,ULTJ,1470,1545-1840,1395,0.0,OPEN,0
510485,2026-08-03 05:08:54,BUY,INET,234,246-292,222,0.0,OPEN,0
510486,2026-08-03 05:12:07,BUY,BMTR,118,123-159,112,0.0,OPEN,0
510487,2026-08-03 05:12:07,BUY,HRUM,835,880-1045,790,0.0,OPEN,0
510488,2026-08-03 05:16:07,BUY,PIPA,120,126-162,114,0.0,OPEN,0
510489,2026-08-03 05:19:07,BUY,DOOH,248,260-310,234,0.0,OPEN,0
510492,2026-08-03 05:22:07,BUY,BUVA,880,925-1100,835,0.0,OPEN,0
510493,2026-08-03 05:24:37,BUY,BGTG,114,119-153,108,0.0,OPEN,0
510494,2026-08-03 05:26:07,BUY,KBLV,132,138-178,125,0.0,OPEN,0
510600,2026-08-03 09:31:03,TP,GJTL,1200,,,4.6,TP1 HIT,0
510601,2026-08-03 09:31:28,TP,HMSP,715,,,4.2,TP1 HIT,0
510603,2026-08-03 09:32:00,TP,JPFA,2100,,,4.8,TP1 HIT,0
510640,2026-08-03 09:41:08,TP,HMSP,715,,,4.2,Close di TP1,1
510641,2026-08-03 09:42:03,TP,JPFA,2100,,,4.8,Close di TP1,1
510674,2026-08-03 09:51:07,TP,DOOH,248,,,5.6,TP1 HIT,0
510727,2026-08-03 10:00:33,TP,DOOH,248,,,5.6,Close di TP1,1
510872,2026-08-03 11:25:45,TP,HRUM,835,,,5.4,TP1 HIT,0
510942,2026-08-03 11:46:16,TP,PRIM,102,,,4.9,TP1 HIT,0
510945,2026-08-03 11:51:16,TP,PRIM,102,,,4.9,Close di TP1,1
510957,2026-08-03 12:01:16,TP,TAPG,1755,,,4.3,TP1 HIT,0
510959,2026-08-03 12:06:01,TP,TAPG,1755,,,4.3,Close di TP1,1
510965,2026-08-03 12:18:16,BUY,BELL,120,126-162,114,0.0,OPEN,0
510967,2026-08-03 12:21:09,BUY,BUKA,120,126-162,114,0.0,OPEN,0
510969,2026-08-03 12:25:16,BUY,CTRA,585,615-735,555,0.0,OPEN,0
510970,2026-08-03 12:28:19,BUY,DSNG,1395,1465-1745,1325,0.0,OPEN,0
510973,2026-08-03 12:34:16,BUY,DEWA,470,494-590,446,0.0,OPEN,0
511052,2026-08-03 13:46:24,TP,INDF,6850,,,4.7,TP1 HIT,0
511065,2026-08-03 13:51:16,TP,INDF,6850,,,4.7,Close di TP1,1
511080,2026-08-03 13:56:03,TP,ELSA,685,,,4.4,TP1 HIT,0
511097,2026-08-03 14:01:16,TP,ELSA,685,,,4.4,Close di TP1,1
511113,2026-08-03 14:10:45,TP,HRUM,835,,,5.4,Close di TP1,1
511419,2026-08-04 05:03:06,BUY,AMMN,4280,4500-5350,4060,0.0,OPEN,0
511420,2026-08-04 05:06:06,BUY,MBMA,515,540-645,488,0.0,OPEN,0
511421,2026-08-04 05:08:06,BUY,IRSX,364,382-456,344,0.0,OPEN,0
511422,2026-08-04 05:08:06,BUY,DOOH,262,276-328,248,0.0,OPEN,0
511423,2026-08-04 05:13:05,BUY,AWAN,165,173-222,156,0.0,OPEN,0
511540,2026-08-04 10:06:07,TP,EMMI,424,,,5.2,TP1 HIT,0
511557,2026-08-04 10:11:02,TP,EMMI,424,,,5.2,Close di TP1,1
511646,2026-08-04 12:19:27,BUY,NIKL,200,210-270,190,0.0,OPEN,0
511647,2026-08-04 12:20:04,BUY,BIPI,150,157-202,142,0.0,OPEN,0
511650,2026-08-04 12:22:27,BUY,ARCI,1100,1155-1375,1045,0.0,OPEN,0
511651,2026-08-04 12:24:27,BUY,DKFT,690,725-865,655,0.0,OPEN,0
511653,2026-08-04 12:28:09,BUY,AYAM,446,468-560,422,0.0,OPEN,0
511655,2026-08-04 12:30:27,BUY,BBYB,260,274-326,246,0.0,OPEN,0
511657,2026-08-04 12:35:27,BUY,PSDN,131,137-176,124,0.0,OPEN,0
511658,2026-08-04 12:35:27,BUY,PMJS,120,126-162,114,0.0,OPEN,0
511864,2026-08-04 15:45:46,TP,MBMA,515,,,5.8,TP1 HIT,0
511986,2026-08-05 05:05:07,BUY,GPSO,310,326-388,294,0.0,OPEN,0
511987,2026-08-05 05:10:07,BUY,GRIA,138,144-186,131,0.0,OPEN,0
511988,2026-08-05 05:14:07,BUY,CSIS,198,208-268,188,0.0,OPEN,0
511989,2026-08-05 05:16:08,BUY,LEAD,113,118-152,107,0.0,OPEN,0
511990,2026-08-05 05:19:07,BUY,LSIP,1455,1530-1820,1380,0.0,OPEN,0
511991,2026-08-05 05:22:07,BUY,KDTN,450,472-565,426,0.0,OPEN,0
512070,2026-08-05 09:30:33,TP,CSIS,198,,,5.1,TP1 HIT,0
512087,2026-08-05 09:40:27,TP,CSIS,198,,,5.1,Close di TP1,1
512104,2026-08-05 10:05:47,TP,CTRA,585,,,5.1,TP1 HIT,0
512111,2026-08-05 10:11:06,TP,CTRA,585,,,5.1,Close di TP1,1
512137,2026-08-05 10:35:14,TP,LEAD,113,,,5.3,TP1 HIT,0
